WELL_NAME,UWI,BHI,COUNTRY,BASIN_NAME,OPERATOR,CLASS,Petrel Well Symbol,TCH_STAT,CONTENT,GEN_STATUS,SPUD_DT_YR,LTCOMP_DT,GRP_NAME,OP_ACRONYM,CONTRACT,BLOCK_NAME,FIELD_NAME,D_REF_TYPE,ELEV_REF_M,TD_M,DEV_TYPE,BLK_OP_ACR,TECH_STAT,GN_CONT,SPUD_DT_TX,WEL_ID,ALT_WNAME,W84_LAT_DG,W84_LON_DG,POINT_X,POINT_Y
Jarmine 1,HR00386151,HR0038615100,Croatia,Slavonian-Syrmia Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1957,5/10/1957,INA,INA,,,,KB,83.00,1438.20,,,Abandoned,Dry/Shows,29 March 1957,100000593585,Jar-1,45.29660000000,18.74115300000,675779.42,5019855.51
Jezevo 02DU,HR00386155,HR0038615500,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,Outpost,36,Completed,Oil,Completed Oil & Gas,1984,5/31/1985,INA,INA,,,Jezevo,KB,6.00,3020.00,,,Completed,Oil & Gas,10 December 1984,100000593588,Jz-2DU,45.72916600000,16.30045100000,484472.25,5065502.18
Jezevo 04DU,HR00386159,HR0038615900,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,Outpost,40,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1986,1/17/1987,INA,INA,,,Jezevo,KB,6.00,4001.00,,,Abandoned,Dry/Shows,04 July 1986,100000593591,Jz-4DU,45.73403400000,16.30845500000,485096.51,5066041.66
Jezevo 06,HR00386162,HR0038616200,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,Outpost,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1967,10/22/1967,INA,INA,,,Jezevo,KB,104.00,2051.50,,,Abandoned,Dry/Shows,28 September 1967,100000593594,Jz-6,45.73693600000,16.29537000000,484078.99,5066366.70
Johovac 1,HR00386182,HR0038618200,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1978,7/1/1978,INA,INA,,,,,0.00,2500.00,Vertical,,Abandoned,Dry/Shows,1978,100000109663,,45.54841500000,16.73749500000,518548.04,5045422.82
KBN-Zagreb 2,HR00381329,HR0038132900,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,Geothermal,51,Completed,Oil,Water,1984,10/31/1984,INA,INA,,,,KB,121.00,897.50,Vertical,,Completed,Water,25 August 1984,100000109566,KBN-ZGB-2,45.79973800000,15.93258000000,455895.57,5073482.46
Koprivnicki Bregi 1,HR00424182,HR0042418200,Croatia,Drava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1979,7/1/1980,INA,INA,,,,,0.00,3200.00,,,Abandoned,Dry/Shows,1979,100000121032,,46.13307500000,16.91158500000,531806.68,5110455.15
Korenovo 1,HR00386402,HR0038640200,Croatia,Drava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1958,4/7/1958,INA,INA,,,,KB,115.00,1457.90,,,Abandoned,Dry/Shows,11 March 1958,100000593819,Kor-1,45.85439200000,16.81964000000,524826.41,5079449.63
Kravarsko 1,HR00386475,HR0038647500,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1935,8/31/1935,INA,INA,,,,KB,186.00,1025.00,,,Abandoned,Dry/Shows,27 June 1935,100000593878,Kra-1,45.58344800000,16.04214000000,464274.69,5049390.63
Krizevci 1,HR00384916,HR0038491600,Croatia,Drava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1962,4/26/1962,INA,INA,,,,KB,175.00,821.80,,,Abandoned,Dry/Shows,28 March 1962,100000593882,Ki-1,46.01465800000,16.59676300000,507496.51,5097216.29
